datetime,open,high,low,close,volume,percent_b,atr,macd,macd_signal,macd_hist,adx,sma,ema,rsi,%K,%D,vpt,day,hour,open change,high change,low change,close change,price movement,price range,price trend,open trend,high trend,low trend,close trend,volume trend
2024-01-10 12:40:00,153.84,153.9,153.84,153.88,87926,1.0226403771459025,0.0654,0.0693,0.0607,0.0086,20.4342,153.7778,153.79,70.3231,94.4444,95.1178,-52457.5446,2,12,0.0001,0.0003,0.0001,0.0003,0.04,0.06,1,1,1,1,1,1
2024-01-10 12:41:00,153.88,153.88,153.76,153.77,73482,0.6586519871587594,0.0693,0.0641,0.0614,0.0027,19.865,153.7844,153.786,56.506,56.6667,80.6734,-52510.0727,2,12,0.0003,-0.0001,-0.0005,-0.0007,-0.11,0.12,0,1,0,0,0,0
2024-01-10 12:42:00,153.77,153.82,153.73,153.82,56088,0.7861408080196662,0.0708,0.0633,0.0618,0.0015,18.8311,153.7956,153.7928,60.3222,72.4138,74.5083,-52491.8351,2,12,-0.0007,-0.0004,-0.0002,0.0003,0.05,0.09,1,0,0,0,1,0
2024-01-10 12:43:00,153.82,153.85,153.8,153.85,46430,0.8423817513060158,0.0693,0.0643,0.0623,0.002,18.2998,153.81,153.8042,62.451,81.4815,70.1873,-52482.7797,2,12,0.0003,0.0002,0.0005,0.0002,0.03,0.05,1,1,1,1,1,0
2024-01-10 12:44:00,153.85,153.85,153.82,153.84,48541,0.7841151223077246,0.0665,0.0635,0.0625,0.001,17.8065,153.8222,153.8114,61.2709,72.7273,75.5408,-52485.9348,2,12,0.0002,0.0,0.0001,-0.0001,-0.01,0.03,0,1,0,1,0,1
2024-01-10 12:45:00,153.84,153.84,153.71,153.74,56137,0.4913934564063533,0.071,0.0543,0.0609,-0.0066,17.4119,153.8167,153.7971,50.9109,23.8095,59.3394,-52522.4253,2,12,-0.0001,-0.0001,-0.0007,-0.0007,-0.1,0.13,0,0,0,0,0,1
2024-01-10 12:46:00,153.74,153.82,153.73,153.81,40181,0.678500470802455,0.0724,0.052,0.0591,-0.0071,17.0454,153.8178,153.7997,56.4606,57.1429,51.2266,-52504.1303,2,12,-0.0007,-0.0001,0.0001,0.0005,0.07,0.09,1,0,0,1,1,0
2024-01-10 12:47:00,153.82,153.86,153.81,153.85,39227,0.7885660737122272,0.0708,0.0528,0.0578,-0.0051,16.0454,153.8211,153.8098,59.2927,76.1905,52.381,-52493.9289,2,12,0.0005,0.0003,0.0005,0.0003,0.03,0.05,1,1,1,1,1,0
2024-01-10 12:48:00,153.85,153.92,153.85,153.9,77466,0.9380091530155034,0.0707,0.0568,0.0576,-0.0008,15.5451,153.8289,153.8278,62.5701,91.3043,74.8792,-52468.7531,2,12,0.0002,0.0004,0.0003,0.0003,0.05,0.07,1,1,1,1,1,1
2024-01-10 12:49:00,153.9,153.92,153.86,153.91,50600,0.9437030161944426,0.0699,0.0601,0.0581,0.002,15.0806,153.8322,153.8442,63.2082,95.2381,87.5776,-52465.4652,2,12,0.0003,0.0,0.0001,0.0001,0.01,0.06,1,1,0,1,1,0
2024-01-10 12:50:00,153.92,153.93,153.9,153.92,43019,0.9296072408560278,0.0671,0.0628,0.059,0.0037,14.7932,153.8489,153.8594,63.8714,95.4545,93.999,-52462.6702,2,12,0.0001,0.0001,0.0003,0.0001,0.0,0.03,0,1,1,1,1,0
2024-01-10 12:51:00,153.93,153.99,153.91,153.98,124634,1.0498176399986086,0.068,0.0689,0.061,0.0079,15.3225,153.8667,153.8835,67.6404,96.4286,95.7071,-52414.0862,2,12,0.0001,0.0004,0.0001,0.0004,0.05,0.08,1,1,1,1,1,1
2024-01-10 12:52:00,153.98,153.99,153.83,153.88,129510,0.6868537351081696,0.0746,0.065,0.0618,0.0032,14.4829,153.87,153.8828,56.9725,60.7143,84.1991,-52498.1945,2,12,0.0003,0.0,-0.0005,-0.0006,-0.1,0.16,0,1,0,0,0,1
2024-01-10 12:53:00,153.86,153.89,153.81,153.82,58812,0.4500087426524647,0.075,0.0564,0.0607,-0.0043,13.4853,153.8678,153.8702,51.7034,39.2857,65.4762,-52521.1262,2,12,-0.0008,-0.0006,-0.0001,-0.0004,-0.04,0.08,0,0,0,0,0,0
2024-01-10 12:54:00,153.8,153.84,153.8,153.84,27247,0.5042527652607565,0.0725,0.0506,0.0587,-0.0081,12.7066,153.8789,153.8642,53.2553,46.4286,48.8095,-52517.5835,2,12,-0.0004,-0.0003,-0.0001,0.0001,0.04,0.04,1,0,0,0,1,0
2024-01-10 12:55:00,153.84,153.87,153.83,153.83,39093,0.4355635004771268,0.0702,0.0447,0.0559,-0.0112,12.0756,153.8811,153.8574,52.3496,42.8571,42.8571,-52520.1246,2,12,0.0003,0.0002,0.0002,-0.0001,-0.01,0.04,0,1,1,1,0,1
2024-01-10 12:56:00,153.84,153.91,153.84,153.88,37727,0.6476084902563753,0.0709,0.0436,0.0534,-0.0099,12.0589,153.8844,153.8619,56.3473,60.7143,50.0,-52507.8621,2,12,0.0,0.0003,0.0001,0.0003,0.04,0.07,1,0,1,1,1,0
2024-01-10 12:57:00,153.87,153.87,153.8,153.86,33931,0.5407760128116648,0.0715,0.0406,0.0509,-0.0103,11.3887,153.88,153.8615,54.3819,53.5714,52.381,-52512.2721,2,12,0.0002,-0.0003,-0.0003,-0.0001,-0.01,0.07,0,1,0,0,0,0
2024-01-10 12:58:00,153.85,153.91,153.85,153.9,37277,0.7112092619900586,0.0707,0.041,0.0489,-0.0079,11.3301,153.8789,153.8692,57.5696,67.8571,60.7143,-52502.581,2,12,-0.0001,0.0003,0.0003,0.0003,0.05,0.06,1,0,1,1,1,1
2024-01-10 12:59:00,153.9,153.96,153.9,153.93,44909,0.8174902601927582,0.0699,0.0432,0.0478,-0.0046,11.9045,153.88,153.8814,59.8363,76.9231,66.1172,-52493.8268,2,12,0.0003,0.0003,0.0003,0.0002,0.03,0.06,1,1,1,1,1,1
2024-01-10 13:00:00,153.93,153.93,153.83,153.84,67365,0.4155030394089499,0.0721,0.0373,0.0457,-0.0084,11.336,153.8644,153.8731,51.0288,21.0526,55.2776,-52533.2138,2,13,0.0002,-0.0002,-0.0005,-0.0006,-0.09,0.1,0,1,0,0,0,1
