datetime,open,high,low,close,volume,adx,atr,sma,ema,rsi,macd_signal,percent_b,sma_(1_change),sma_(1_change(%)),sma_(1_trend),sma_(2_change),sma_(2_change(%)),sma_(2_trend),sma_(3_change),sma_(3_change(%)),sma_(3_trend),sma_(4_change),sma_(4_change(%)),sma_(4_trend),sma_(5_change),sma_(5_change(%)),sma_(5_trend),sma_(6_change),sma_(6_change(%)),sma_(6_trend),sma_(7_change),sma_(7_change(%)),sma_(7_trend),sma_(8_change),sma_(8_change(%)),sma_(8_trend),sma_(9_change),sma_(9_change(%)),sma_(9_trend),ema_(1_change),ema_(1_change(%)),ema_(1_trend),ema_(2_change),ema_(2_change(%)),ema_(2_trend),ema_(3_change),ema_(3_change(%)),ema_(3_trend),ema_(4_change),ema_(4_change(%)),ema_(4_trend),ema_(5_change),ema_(5_change(%)),ema_(5_trend),ema_(6_change),ema_(6_change(%)),ema_(6_trend),ema_(7_change),ema_(7_change(%)),ema_(7_trend),ema_(8_change),ema_(8_change(%)),ema_(8_trend),ema_(9_change),ema_(9_change(%)),ema_(9_trend),day,hour
2024-11-07 12:37:00,227.18,227.28,227.18,227.28,30277,22.41,0.09,227.24,227.24,57.89,0.06,0.7,0.01,0.0044,1,0.01,0.0044,1,0.02,0.0088,1,0.03,0.0132,1,0.04,0.0176,1,0.03,0.0132,1,0.02,0.0088,1,0.02,0.0088,1,0.02,0.0088,1,0.02,0.0088,1,0.01,0.0044,1,0.0,0.0,0,0.01,0.0044,1,0.0,0.0,0,0.01,0.0044,1,0.03,0.0132,1,0.04,0.0176,1,0.04,0.0176,1,3,12
2024-11-07 12:38:00,227.28,227.32,227.26,227.32,26367,21.57,0.09,227.26,227.25,60.48,0.06,0.83,0.02,0.0088,1,0.03,0.0132,1,0.03,0.0132,1,0.04,0.0176,1,0.05,0.022,1,0.06,0.0264,1,0.05,0.022,1,0.04,0.0176,1,0.04,0.0176,1,0.01,0.0044,1,0.03,0.0132,1,0.02,0.0088,1,0.01,0.0044,1,0.02,0.0088,1,0.01,0.0044,1,0.02,0.0088,1,0.04,0.0176,1,0.05,0.022,1,3,12
2024-11-07 12:39:00,227.32,227.32,227.27,227.29,57913,20.79,0.09,227.26,227.26,57.62,0.05,0.7,0.0,0.0,0,0.02,0.0088,1,0.03,0.0132,1,0.03,0.0132,1,0.04,0.0176,1,0.05,0.022,1,0.06,0.0264,1,0.05,0.022,1,0.04,0.0176,1,0.01,0.0044,1,0.02,0.0088,1,0.04,0.0176,1,0.03,0.0132,1,0.02,0.0088,1,0.03,0.0132,1,0.02,0.0088,1,0.03,0.0132,1,0.05,0.022,1,3,12
2024-11-07 12:40:00,227.29,227.31,227.23,227.24,54881,19.44,0.09,227.25,227.26,53.1,0.05,0.5,-0.01,-0.0044,0,-0.01,-0.0044,0,0.01,0.0044,1,0.02,0.0088,1,0.02,0.0088,1,0.03,0.0132,1,0.04,0.0176,1,0.05,0.022,1,0.04,0.0176,1,0.0,0.0,0,0.01,0.0044,1,0.02,0.0088,1,0.04,0.0176,1,0.03,0.0132,1,0.02,0.0088,1,0.03,0.0132,1,0.02,0.0088,1,0.03,0.0132,1,3,12
2024-11-07 12:41:00,227.22,227.3,227.22,227.29,25718,18.06,0.08,227.26,227.26,56.75,0.05,0.7,0.01,0.0044,1,0.0,0.0,0,0.0,0.0,0,0.02,0.0088,1,0.03,0.0132,1,0.03,0.0132,1,0.04,0.0176,1,0.05,0.022,1,0.06,0.0264,1,0.0,0.0,0,0.0,0.0,0,0.01,0.0044,1,0.02,0.0088,1,0.04,0.0176,1,0.03,0.0132,1,0.02,0.0088,1,0.03,0.0132,1,0.02,0.0088,1,3,12
2024-11-07 12:42:00,227.29,227.31,227.28,227.29,26147,16.92,0.08,227.26,227.27,56.75,0.05,0.73,0.0,0.0,0,0.01,0.0044,1,0.0,0.0,0,0.0,0.0,0,0.02,0.0088,1,0.03,0.0132,1,0.03,0.0132,1,0.04,0.0176,1,0.05,0.022,1,0.01,0.0044,1,0.01,0.0044,1,0.01,0.0044,1,0.02,0.0088,1,0.03,0.0132,1,0.05,0.022,1,0.04,0.0176,1,0.03,0.0132,1,0.04,0.0176,1,3,12
2024-11-07 12:43:00,227.29,227.37,227.29,227.33,31716,16.71,0.08,227.27,227.28,59.66,0.05,0.91,0.01,0.0044,1,0.01,0.0044,1,0.02,0.0088,1,0.01,0.0044,1,0.01,0.0044,1,0.03,0.0132,1,0.04,0.0176,1,0.04,0.0176,1,0.05,0.022,1,0.01,0.0044,1,0.02,0.0088,1,0.02,0.0088,1,0.02,0.0088,1,0.03,0.0132,1,0.04,0.0176,1,0.06,0.0264,1,0.05,0.022,1,0.04,0.0176,1,3,12
2024-11-07 12:44:00,227.33,227.45,227.33,227.45,38365,17.45,0.08,227.3,227.31,66.87,0.05,1.2,0.03,0.0132,1,0.04,0.0176,1,0.04,0.0176,1,0.05,0.022,1,0.04,0.0176,1,0.04,0.0176,1,0.06,0.0264,1,0.07,0.0308,1,0.07,0.0308,1,0.03,0.0132,1,0.04,0.0176,1,0.05,0.022,1,0.05,0.022,1,0.05,0.022,1,0.06,0.0264,1,0.07,0.0308,1,0.09,0.0396,1,0.08,0.0352,1,3,12
2024-11-07 12:45:00,227.44,227.46,227.39,227.42,52026,18.24,0.08,227.32,227.34,63.8,0.05,1.01,0.02,0.0088,1,0.05,0.022,1,0.06,0.0264,1,0.06,0.0264,1,0.07,0.0308,1,0.06,0.0264,1,0.06,0.0264,1,0.08,0.0352,1,0.09,0.0396,1,0.03,0.0132,1,0.06,0.0264,1,0.07,0.0308,1,0.08,0.0352,1,0.08,0.0352,1,0.08,0.0352,1,0.09,0.0396,1,0.1,0.044,1,0.12,0.0528,1,3,12
2024-11-07 12:46:00,227.43,227.43,227.29,227.29,85087,17.36,0.09,227.32,227.33,52.55,0.05,0.57,0.0,0.0,0,0.02,0.0088,1,0.05,0.022,1,0.06,0.0264,1,0.06,0.0264,1,0.07,0.0308,1,0.06,0.0264,1,0.06,0.0264,1,0.08,0.0352,1,-0.01,-0.0044,0,0.02,0.0088,1,0.05,0.022,1,0.06,0.0264,1,0.07,0.0308,1,0.07,0.0308,1,0.07,0.0308,1,0.08,0.0352,1,0.09,0.0396,1,3,12
