datetime,open,high,low,close,volume,previous open,open-change,open-trend,previous high,high-change,high-trend,previous low,low-change,low-trend,previous close,close-change,close-trend,previous volume,volume-change,volume-trend,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-10-23 10:40:00,327.66,328.21,327.25,328.18,200137,326.83,0.83,1,327.57,0.64,1,326.27,0.98,1,327.06,1.12,1,451799.0,-251662.0,0,0.90,0.13,-0.01,0.14,23.75,327.48,57.51
2023-10-23 10:45:00,328.20,328.20,327.46,327.63,173583,327.04,1.16,1,328.11,0.09,1,326.51,0.95,1,327.59,0.04,1,356128.0,-182545.0,0,0.71,0.13,0.02,0.12,24.45,327.51,52.73
2023-10-23 10:50:00,327.65,327.87,327.35,327.38,142559,327.58,0.07,1,327.58,0.29,1,326.59,0.76,1,327.33,0.05,1,331098.0,-188539.0,0,0.61,0.12,0.04,0.08,24.85,327.49,50.67
2023-10-23 10:55:00,327.37,328.32,327.35,328.28,144316,327.33,0.04,1,327.84,0.48,1,327.01,0.34,1,327.05,1.23,1,225213.0,-80897.0,0,0.88,0.18,0.07,0.11,25.75,327.65,57.16
2023-10-23 11:00:00,328.32,328.76,327.93,328.10,244279,327.06,1.26,1,328.0,0.76,1,327.06,0.87,1,327.98,0.12,1,272077.0,-27798.0,0,0.79,0.21,0.09,0.12,27.03,327.74,55.59
2023-10-23 11:05:00,328.08,328.80,327.92,328.35,214078,327.98,0.1,1,328.05,0.75,1,326.89,1.03,1,327.21,1.14,1,249566.0,-35488.0,0,0.83,0.25,0.13,0.13,28.26,327.86,57.35
2023-10-23 11:10:00,328.34,329.05,328.30,328.97,209055,327.21,1.13,1,327.6,1.45,1,326.81,1.49,1,327.56,1.41,1,239921.0,-30866.0,0,0.95,0.33,0.17,0.16,29.64,328.08,61.42
2023-10-23 11:15:00,328.97,329.25,328.75,329.18,153099,327.57,1.4,1,327.71,1.54,1,327.14,1.61,1,327.3,1.88,1,299207.0,-146108.0,0,0.97,0.41,0.21,0.19,31.11,328.30,62.73
2023-10-23 11:20:00,329.18,329.57,328.85,328.92,171305,327.25,1.93,1,327.59,1.98,1,326.82,2.03,1,327.0,1.92,1,212372.0,-41067.0,0,0.92,0.44,0.26,0.18,32.76,328.42,60.03
2023-10-23 11:25:00,328.90,329.24,328.71,329.16,145696,326.98,1.92,1,327.94,1.3,1,326.52,2.19,1,327.77,1.39,1,215201.0,-69505.0,0,0.95,0.48,0.30,0.18,33.89,328.57,61.69
2023-10-23 11:30:00,329.12,329.25,328.77,329.01,121253,327.66,1.46,1,328.21,1.04,1,327.25,1.52,1,328.18,0.83,1,200137.0,-78884.0,0,0.85,0.49,0.34,0.15,34.96,328.66,60.00
2023-10-23 11:35:00,329.07,329.39,328.94,329.29,107789,328.2,0.87,1,328.2,1.19,1,327.46,1.48,1,327.63,1.66,1,173583.0,-65794.0,0,0.90,0.52,0.38,0.14,36.09,328.79,62.05
2023-10-23 11:40:00,329.29,329.33,328.71,328.76,125493,327.65,1.64,1,327.87,1.46,1,327.35,1.36,1,327.38,1.38,1,142559.0,-17066.0,0,0.70,0.49,0.40,0.09,36.45,328.78,56.18
