open,high,low,close,volume,previous open,open-change,open-trend,previous high,high-change,high-trend,previous low,low-change,low-trend,previous close,close-change,close-trend,previous volume,volume-change,volume-trend,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi,day_of_week,hour,target
404.17,404.35,403.53,404.04,237997,401.65,2.52,1,402.64,1.71,1,401.0,2.53,1,402.33,1.71,1,158905.0,79092.0,1,0.80,0.69,0.70,-0.01,17.49,403.10,59.05,3,15,1
404.11,404.64,403.32,404.12,308780,402.43,1.68,1,402.43,2.21,1,401.71,1.61,1,402.1,2.02,1,172117.0,136663.0,1,0.79,0.73,0.71,0.03,17.50,403.30,59.37,3,15,1
404.12,404.91,403.78,404.78,214706,402.13,1.99,1,402.53,2.38,1,401.34,2.44,1,401.65,3.13,1,106907.0,107799.0,1,0.90,0.81,0.73,0.08,17.71,403.60,61.98,3,15,1
404.89,404.89,403.55,403.62,291221,401.71,3.18,1,402.5,2.39,1,401.56,1.99,1,402.1,1.52,1,150247.0,140974.0,1,0.64,0.77,0.74,0.03,17.65,403.60,55.26,3,15,1
403.64,404.37,403.11,404.20,303167,402.01,1.63,1,402.03,2.34,1,400.5,2.61,1,400.66,3.54,1,151004.0,152163.0,1,0.77,0.77,0.74,0.03,17.12,403.72,57.72,3,15,1
404.21,404.21,401.34,401.46,538496,400.63,3.58,1,402.99,1.22,1,400.29,1.05,1,402.76,-1.3,0,200147.0,338349.0,1,0.17,0.55,0.70,-0.15,16.74,403.27,45.07,3,15,1
401.50,402.64,401.22,401.74,813179,402.74,-1.24,0,403.11,-0.47,0,402.39,-1.17,0,402.52,-0.78,0,146760.0,666419.0,1,0.25,0.39,0.64,-0.25,16.48,402.96,46.36,3,15,1
405.63,409.90,404.15,407.83,1011453,402.49,3.14,1,402.59,7.31,1,401.8,2.35,1,402.23,5.6,1,106920.0,904533.0,0,1.27,0.75,0.66,0.08,18.27,403.94,65.43,4,9,0
408.01,409.67,406.22,408.60,357631,402.21,5.8,1,404.04,5.63,1,402.07,4.15,1,403.65,4.95,1,218225.0,139406.0,1,1.17,1.08,0.75,0.33,19.93,404.87,67.04,4,9,0
408.62,408.71,407.28,408.16,240661,403.65,4.97,1,404.19,4.52,1,403.09,4.19,1,404.19,3.97,1,268111.0,-27450.0,0,1.01,1.29,0.86,0.44,21.48,405.53,65.18,4,9,0
408.01,410.64,408.01,408.83,572415,404.17,3.84,1,404.35,6.29,1,403.53,4.48,1,404.04,4.79,1,237997.0,334418.0,1,1.00,1.50,0.98,0.51,23.49,406.19,66.68,4,9,0
408.78,409.24,406.34,408.96,447669,404.11,4.67,1,404.64,4.6,1,403.32,3.02,1,404.12,4.84,1,308780.0,138889.0,1,0.94,1.65,1.12,0.54,24.14,406.74,67.00,4,9,0
409.10,409.65,407.75,408.00,252789,404.12,4.98,1,404.91,4.74,1,403.78,3.97,1,404.78,3.22,1,214706.0,38083.0,1,0.82,1.68,1.23,0.45,24.88,406.99,62.53,4,9,0
407.85,408.40,406.05,406.68,225022,404.89,2.96,1,404.89,3.51,1,403.55,2.5,1,403.62,3.06,1,291221.0,-66199.0,0,0.67,1.57,1.30,0.28,24.46,406.93,56.91,4,10,0
